nom,n_message,time,nb_plot,nb_libre,nb_velos,lattitude, longitude
Station_azer6,0,1528378534.2925775,10,0,10,40.8597519,-123.5112522
Station_azet7,0,1528378932.6203423,20,0,20,45.7678379,-113.3342124
Station_azetw,0,1528400505.101629,20,0,20,48.2267692,-103.6174956
Station_azeym,0,1528400907.630543,20,0,20,28.191323,-82.40245
Station_azeyl,0,1528401092.2217212,20,0,20,39.9230051,-104.4188044
Station_azetm,0,1528472913.994924,10,0,10,45.9695216,-94.6958863
Station_azeyh,0,1528474061.517037,20,0,20,29.3136055,-94.8041015
Station_azerg,0,1528474825.6791272,30,0,30,44.1644143,-85.94889649999999
Station_azey5,0,1528474835.422983,30,0,30,42.664821,-88.5018959
Station_azet9,0,1528474894.1510055,15,0,15,38.4813306,-88.4993975
Station_azet5,0,1528475048.6729205,10,0,10,32.6895118,-113.9804262
Station_azer2,0,1528475211.9637976,20,0,20,43.2374625,-110.28348
Station_azeuq,0,1528475486.8801653,30,0,30,46.81313,-104.4794
